Year,Month,ab
1850,1,11.553999999999998
1850,2,12.298
1850,3,12.747
1850,4,13.440999999999999
1850,5,14.395999999999999
1850,6,15.385
1850,7,15.833
1850,8,15.672
1850,9,14.815000000000001
1850,10,13.717
1850,11,12.725999999999999
1850,12,12.088000000000001
1851,1,12.145999999999999
1851,2,12.102
1851,3,12.556999999999999
1851,4,13.411999999999999
1851,5,14.69
1851,6,15.478000000000002
1851,7,15.788
1851,8,15.525
1851,9,14.85
1851,10,14.162
1851,11,12.921999999999999
1851,12,12.429
1852,1,12.063999999999998
1852,2,12.0
1852,3,12.359
1852,4,13.514999999999999
1852,5,14.869
1852,6,15.617
1852,7,15.965
1852,8,15.482000000000001
1852,9,14.934000000000001
1852,10,14.143
1852,11,12.76
1852,12,12.658000000000001
1853,1,11.966
1853,2,12.153
1853,3,12.719999999999999
1853,4,13.764
1853,5,14.751
1853,6,15.556000000000001
1853,7,16.037
1853,8,15.774000000000001
1853,9,14.836
1853,10,13.835
1853,11,12.646999999999998
1853,12,12.25
1854,1,11.758999999999999
1854,2,11.922
1854,3,12.84
1854,4,13.633999999999999
1854,5,14.731
1854,6,15.26
1854,7,15.819
1854,8,15.631
1854,9,14.977
1854,10,14.419
1854,11,13.059
1854,12,12.362
1855,1,12.274
1855,2,12.392
1855,3,12.847
1855,4,13.953
1855,5,14.786
1855,6,15.388
1855,7,15.623000000000001
1855,8,15.577
1855,9,14.752
1855,10,13.995000000000001
1855,11,12.905999999999999
1855,12,12.021
1856,1,12.328
1856,2,12.111
1856,3,12.700999999999999
1856,4,13.622
1856,5,14.671
1856,6,15.596
1856,7,15.748000000000001
1856,8,15.299
1856,9,14.511000000000001
1856,10,13.627
1856,11,12.726999999999999
1856,12,12.141
1857,1,11.786
1857,2,11.966
1857,3,12.485
1857,4,13.209999999999999
1857,5,14.25
1857,6,15.162
1857,7,15.486
1857,8,15.362
1857,9,14.741
1857,10,13.771
1857,11,12.796999999999999
1857,12,12.342
1858,1,12.091
1858,2,12.015
1858,3,12.804
1858,4,13.751999999999999
1858,5,14.603
1858,6,15.461
1858,7,15.677
1858,8,15.499
1858,9,14.745000000000001
1858,10,14.026
1858,11,13.116
1858,12,12.081000000000001
1859,1,11.953999999999999
1859,2,12.216
1859,3,12.882
1859,4,14.042
1859,5,15.025
1859,6,15.612
1859,7,15.684000000000001
1859,8,15.467
1859,9,14.703000000000001
1859,10,14.063
1859,11,13.116
1859,12,12.48
1860,1,11.975
1860,2,12.197
1860,3,12.431999999999999
1860,4,13.761999999999999
1860,5,14.801
1860,6,15.527000000000001
1860,7,15.735
1860,8,15.613
1860,9,14.936
1860,10,13.957
1860,11,12.766
1860,12,11.709000000000001
1861,1,11.308
1861,2,11.854
1861,3,12.541
1861,4,13.613
1861,5,14.575
1861,6,15.360000000000001
1861,7,15.677
1861,8,15.626
1861,9,14.823
1861,10,13.84
1861,11,13.083
1861,12,12.215
1862,1,11.386999999999999
1862,2,11.74
1862,3,12.572999999999999
1862,4,13.479
1862,5,14.72
1862,6,15.405000000000001
1862,7,15.65
1862,8,15.317
1862,9,14.675
1862,10,13.837000000000002
1862,11,12.737
1862,12,11.689
1863,1,12.172999999999998
1863,2,12.386
1863,3,12.773
1863,4,13.773
1863,5,14.786999999999999
1863,6,15.378
1863,7,15.622
1863,8,15.43
1863,9,14.715
1863,10,13.811
1863,11,12.918999999999999
1863,12,12.152000000000001
1864,1,11.742999999999999
1864,2,12.116
1864,3,12.737
1864,4,13.615
1864,5,14.857
1864,6,15.626000000000001
1864,7,15.81
1864,8,15.488
1864,9,14.73
1864,10,13.954
1864,11,12.902999999999999
1864,12,12.131
1865,1,12.408999999999999
1865,2,12.221
1865,3,12.699
1865,4,13.642999999999999
1865,5,14.732
1865,6,15.46
1865,7,15.82
1865,8,15.634
1865,9,15.013
1865,10,14.094000000000001
1865,11,13.133
1865,12,12.097000000000001
1866,1,12.356
1866,2,12.174
1866,3,12.686
1866,4,13.542
1866,5,14.677999999999999
1866,6,15.491000000000001
1866,7,16.125
1866,8,15.632
1866,9,14.949
1866,10,14.077
1866,11,13.256
1866,12,12.67
1867,1,12.165
1867,2,12.201
1867,3,12.844999999999999
1867,4,13.911
1867,5,14.641
1867,6,15.548
1867,7,15.837
1867,8,15.586
1867,9,15.109
1867,10,14.339
1867,11,13.555
1867,12,12.424000000000001
1868,1,11.815
1868,2,11.878
1868,3,12.827
1868,4,13.926
1868,5,14.942
1868,6,15.625
1868,7,16.075
1868,8,15.791
1868,9,14.997
1868,10,14.323
1868,11,12.979
1868,12,12.437000000000001
1869,1,12.11
1869,2,12.565
1869,3,12.610999999999999
1869,4,13.79
1869,5,14.863999999999999
1869,6,15.563
1869,7,15.790000000000001
1869,8,15.664
1869,9,15.178
1869,10,14.111
1869,11,13.116
1869,12,12.17
1870,1,12.017
1870,2,12.042
1870,3,12.790999999999999
1870,4,13.782
1870,5,14.837
1870,6,15.652000000000001
1870,7,15.926
1870,8,15.561
1870,9,15.055
1870,10,13.997
1870,11,12.959
1870,12,11.989
1871,1,11.748
1871,2,11.902
1871,3,12.85
1871,4,13.966
1871,5,14.729
1871,6,15.497
1871,7,15.835
1871,8,15.63
1871,9,14.837
1871,10,14.056000000000001
1871,11,12.742999999999999
1871,12,12.162
1872,1,11.84
1872,2,12.093
1872,3,12.753
1872,4,13.66
1872,5,14.817
1872,6,15.447000000000001
1872,7,15.870000000000001
1872,8,15.777000000000001
1872,9,15.037
1872,10,14.093
1872,11,12.85
1872,12,12.064
1873,1,11.978
1873,2,12.416
1873,3,12.834999999999999
1873,4,13.564
1873,5,14.734
1873,6,15.511000000000001
1873,7,15.822000000000001
1873,8,15.679
1873,9,14.860000000000001
1873,10,14.06
1873,11,12.940999999999999
1873,12,12.322000000000001
1874,1,12.075
1874,2,12.231
1874,3,12.475
1874,4,13.668999999999999
1874,5,14.792
1874,6,15.403
1874,7,15.734
1874,8,15.651
1874,9,15.065000000000001
1874,10,13.987
1874,11,12.860999999999999
1874,12,12.246
1875,1,11.828
1875,2,12.136
1875,3,12.658
1875,4,13.649999999999999
1875,5,14.73
1875,6,15.442
1875,7,15.774000000000001
1875,8,15.572000000000001
1875,9,14.954
1875,10,14.114
1875,11,12.713
1875,12,12.094000000000001
1876,1,11.911999999999999
1876,2,12.228
1876,3,12.818999999999999
1876,4,13.756
1876,5,14.484
1876,6,15.392000000000001
1876,7,15.835
1876,8,15.526
1876,9,14.862
1876,10,14.033000000000001
1876,11,12.799
1876,12,11.984
1877,1,12.104999999999999
1877,2,12.413
1877,3,13.168
1877,4,13.908999999999999
1877,5,14.958
1877,6,15.664000000000001
1877,7,16.133
1877,8,16.055
1877,9,15.386000000000001
1877,10,14.48
1877,11,13.49
1877,12,12.472000000000001
1878,1,12.284999999999998
1878,2,12.912
1878,3,13.681999999999999
1878,4,14.331999999999999
1878,5,14.954
1878,6,15.831000000000001
1878,7,16.109
1878,8,15.905000000000001
1878,9,15.192
1878,10,14.221
1878,11,13.317
1878,12,12.433
1879,1,12.154
1879,2,12.258
1879,3,13.049
1879,4,13.738999999999999
1879,5,14.768
1879,6,15.524000000000001
1879,7,15.773
1879,8,15.583
1879,9,14.93
1879,10,14.213000000000001
1879,11,12.981
1879,12,12.039000000000001
1880,1,11.912999999999998
1880,2,11.968
1880,3,12.802
1880,4,13.678999999999998
1880,5,14.769
1880,6,15.412
1880,7,15.733
1880,8,15.601
1880,9,14.849
1880,10,13.969000000000001
1880,11,13.084
1880,12,12.335
1881,1,12.174
1881,2,12.289
1881,3,13.033
1881,4,14.008
1881,5,14.908999999999999
1881,6,15.368
1881,7,15.846
1881,8,15.677
1881,9,14.934000000000001
1881,10,14.038
1881,11,12.879999999999999
1881,12,12.337000000000002
1882,1,12.386
1882,2,12.508
1882,3,12.985
1882,4,13.738999999999999
1882,5,14.761
1882,6,15.397
1882,7,15.649000000000001
1882,8,15.61
1882,9,15.032
1882,10,13.950000000000001
1882,11,12.838
1882,12,11.994
1883,1,11.880999999999998
1883,2,12.062
1883,3,13.023
1883,4,13.719999999999999
1883,5,14.78
1883,6,15.584000000000001
1883,7,15.727
1883,8,15.468
1883,9,14.871
1883,10,14.017000000000001
1883,11,12.790999999999999
1883,12,12.281
1884,1,12.047999999999998
1884,2,12.301
1884,3,12.613999999999999
1884,4,13.475999999999999
1884,5,14.431
1884,6,15.199
1884,7,15.445
1884,8,15.341000000000001
1884,9,14.687000000000001
1884,10,13.837000000000002
1884,11,12.674999999999999
1884,12,12.106
1885,1,11.608999999999998
1885,2,12.026
1885,3,12.758
1885,4,13.523
1885,5,14.453
1885,6,15.156
1885,7,15.653
1885,8,15.386000000000001
1885,9,14.785
1885,10,13.97
1885,11,12.883999999999999
1885,12,12.389000000000001
1886,1,11.652999999999999
1886,2,11.852
1886,3,12.575
1886,4,13.645999999999999
1886,5,14.686
1886,6,15.265
1886,7,15.712
1886,8,15.377
1886,9,14.724
1886,10,13.833
1886,11,12.722
1886,12,12.206000000000001
1887,1,11.337
1887,2,11.787
1887,3,12.628
1887,4,13.648
1887,5,14.544
1887,6,15.232000000000001
1887,7,15.649000000000001
1887,8,15.281
1887,9,14.83
1887,10,13.883000000000001
1887,11,12.873999999999999
1887,12,12.141
1888,1,11.931999999999999
1888,2,11.977
1888,3,12.665
1888,4,13.654
1888,5,14.665
1888,6,15.406
1888,7,15.754
1888,8,15.549
1888,9,14.935
1888,10,14.216000000000001
1888,11,13.122
1888,12,12.435
1889,1,12.17
1889,2,12.73
1889,3,13.157
1889,4,14.101999999999999
1889,5,14.862
1889,6,15.527000000000001
1889,7,15.842
1889,8,15.540000000000001
1889,9,14.865
1889,10,13.998000000000001
1889,11,12.786
1889,12,12.218
1890,1,11.834999999999999
1890,2,12.063
1890,3,12.548
1890,4,13.623
1890,5,14.517
1890,6,15.249
1890,7,15.559000000000001
1890,8,15.354000000000001
1890,9,14.763
1890,10,14.0
1890,11,12.601999999999999
1890,12,12.171000000000001
1891,1,11.799999999999999
1891,2,11.9
1891,3,12.882
1891,4,13.674
1891,5,14.748
1891,6,15.360000000000001
1891,7,15.667
1891,8,15.540000000000001
1891,9,14.966000000000001
1891,10,13.96
1891,11,12.78
1891,12,12.440000000000001
1892,1,12.01
1892,2,12.321
1892,3,12.677
1892,4,13.555
1892,5,14.618
1892,6,15.441
1892,7,15.537
1892,8,15.382
1892,9,14.83
1892,10,14.032
1892,11,12.523
1892,12,12.049000000000001
1893,1,11.388
1893,2,11.878
1893,3,12.822
1893,4,13.671999999999999
1893,5,14.623
1893,6,15.42
1893,7,15.823
1893,8,15.553
1893,9,14.878
1893,10,14.073
1893,11,12.944999999999999
1893,12,12.146
1894,1,11.748
1894,2,12.073
1894,3,12.780999999999999
1894,4,13.514999999999999
1894,5,14.619
1894,6,15.264000000000001
1894,7,15.722
1894,8,15.552
1894,9,14.89
1894,10,14.077
1894,11,12.869
1894,12,12.237
1895,1,11.834999999999999
1895,2,12.05
1895,3,12.699
1895,4,13.753
1895,5,14.687
1895,6,15.440000000000001
1895,7,15.781
1895,8,15.529
1895,9,14.898
1895,10,14.083
1895,11,13.088999999999999
1895,12,12.371
1896,1,12.074
1896,2,12.234
1896,3,12.658999999999999
1896,4,13.587
1896,5,14.734
1896,6,15.579
1896,7,15.886000000000001
1896,8,15.72
1896,9,15.048
1896,10,14.263
1896,11,13.011
1896,12,12.462000000000002
1897,1,12.123
1897,2,12.229
1897,3,12.827
1897,4,13.972999999999999
1897,5,14.996
1897,6,15.552000000000001
1897,7,15.804
1897,8,15.614
1897,9,14.982000000000001
1897,10,14.099
1897,11,12.962
1897,12,12.31
1898,1,12.129999999999999
1898,2,12.006
1898,3,12.487
1898,4,13.631
1898,5,14.583
1898,6,15.487
1898,7,15.644
1898,8,15.455
1898,9,14.829
1898,10,13.821000000000002
1898,11,12.731
1898,12,12.153
1899,1,12.084999999999999
1899,2,12.019
1899,3,12.684
1899,4,13.822
1899,5,14.799999999999999
1899,6,15.348
1899,7,15.717
1899,8,15.655000000000001
1899,9,15.115
1899,10,14.219000000000001
1899,11,13.292
1899,12,12.283000000000001
1900,1,11.879999999999999
1900,2,12.494
1900,3,13.155999999999999
1900,4,13.914
1900,5,14.937
1900,6,15.566
1900,7,15.805
1900,8,15.645
1900,9,15.091000000000001
1900,10,14.34
1900,11,13.068999999999999
1900,12,12.431000000000001
1901,1,12.014
1901,2,12.419
1901,3,13.096
1901,4,13.994
1901,5,14.84
1901,6,15.486
1901,7,15.723
1901,8,15.622
1901,9,14.943
1901,10,14.011000000000001
1901,11,12.982
1901,12,12.308
1902,1,12.011999999999999
1902,2,12.428
1902,3,12.724
1902,4,13.705
1902,5,14.622
1902,6,15.361
1902,7,15.671
1902,8,15.466000000000001
1902,9,14.849
1902,10,13.876000000000001
1902,11,12.722
1902,12,12.048
1903,1,12.036
1903,2,12.344
1903,3,12.809999999999999
1903,4,13.530999999999999
1903,5,14.541
1903,6,15.162
1903,7,15.52
1903,8,15.25
1903,9,14.605
1903,10,13.738000000000001
1903,11,12.722
1903,12,12.030000000000001
1904,1,11.635
1904,2,11.835
1904,3,12.607999999999999
1904,4,13.482999999999999
1904,5,14.456999999999999
1904,6,15.197000000000001
1904,7,15.445
1904,8,15.305
1904,9,14.613
1904,10,13.804
1904,11,12.998
1904,12,12.219000000000001
1905,1,11.95
1905,2,11.888
1905,3,12.801
1905,4,13.654
1905,5,14.708
1905,6,15.382000000000001
1905,7,15.625
1905,8,15.536
1905,9,14.879000000000001
1905,10,13.988000000000001
1905,11,13.093
1905,12,12.283000000000001
1906,1,11.952
1906,2,12.179
1906,3,12.994
1906,4,13.994
1906,5,14.721
1906,6,15.463000000000001
1906,7,15.655
1906,8,15.539
1906,9,14.89
1906,10,14.122
1906,11,12.885
1906,12,12.405000000000001
1907,1,11.883999999999999
1907,2,11.949
1907,3,12.833
1907,4,13.686
1907,5,14.491999999999999
1907,6,15.239
1907,7,15.568
1907,8,15.389000000000001
1907,9,14.821
1907,10,14.066
1907,11,12.737
1907,12,12.096
1908,1,11.877999999999998
1908,2,12.23
1908,3,12.519
1908,4,13.551
1908,5,14.711
1908,6,15.388
1908,7,15.628
1908,8,15.336
1908,9,14.861
1908,10,13.821000000000002
1908,11,12.616
1908,12,11.99
1909,1,11.524
1909,2,12.018
1909,3,12.542
1909,4,13.471
1909,5,14.488999999999999
1909,6,15.229000000000001
1909,7,15.47
1909,8,15.466000000000001
1909,9,14.748000000000001
1909,10,13.846
1909,11,12.866
1909,12,12.066
1910,1,11.911
1910,2,12.036
1910,3,12.577
1910,4,13.591
1910,5,14.654
1910,6,15.3
1910,7,15.565
1910,8,15.409
1910,9,14.793000000000001
1910,10,13.909
1910,11,12.655
1910,12,11.821000000000002
1911,1,11.62
1911,2,11.862
1911,3,12.498999999999999
1911,4,13.535
1911,5,14.477
1911,6,15.219000000000001
1911,7,15.5
1911,8,15.348
1911,9,14.735000000000001
1911,10,14.044
1911,11,12.965
1911,12,12.282
1912,1,12.068
1912,2,12.287
1912,3,12.676
1912,4,13.862
1912,5,14.76
1912,6,15.496
1912,7,15.474
1912,8,15.231
1912,9,14.563
1912,10,13.654
1912,11,12.789
1912,12,12.057
1913,1,11.761999999999999
1913,2,12.005
1913,3,12.661999999999999
1913,4,13.684999999999999
1913,5,14.595
1913,6,15.237
1913,7,15.561
1913,8,15.463000000000001
1913,9,14.81
1913,10,13.946000000000002
1913,11,12.976999999999999
1913,12,12.55
1914,1,12.292
1914,2,12.259
1914,3,12.779
1914,4,13.715
1914,5,14.795
1914,6,15.481
1914,7,15.686
1914,8,15.604000000000001
1914,9,14.96
1914,10,14.279
1914,11,13.1
1914,12,12.524000000000001
1915,1,12.059999999999999
1915,2,12.376
1915,3,13.088
1915,4,14.116
1915,5,15.017999999999999
1915,6,15.521
1915,7,15.779
1915,8,15.693
1915,9,15.01
1915,10,14.007000000000001
1915,11,13.149
1915,12,12.287
1916,1,12.113999999999999
1916,2,12.331
1916,3,12.841
1916,4,13.697999999999999
1916,5,14.673
1916,6,15.328000000000001
1916,7,15.626
1916,8,15.452
1916,9,14.825000000000001
1916,10,13.906
1916,11,12.758999999999999
1916,12,11.753
1917,1,11.625
1917,2,11.842
1917,3,12.428999999999998
1917,4,13.507
1917,5,14.423
1917,6,15.214
1917,7,15.686
1917,8,15.491
1917,9,14.852
1917,10,13.791
1917,11,12.799999999999999
1917,12,11.825000000000001
1918,1,11.771999999999998
1918,2,11.989
1918,3,12.7
1918,4,13.519
1918,5,14.531
1918,6,15.335
1918,7,15.621
1918,8,15.42
1918,9,15.009
1918,10,14.262
1918,11,13.081999999999999
1918,12,12.270000000000001
1919,1,12.097
1919,2,12.283
1919,3,12.844
1919,4,13.924
1919,5,14.775
1919,6,15.389000000000001
1919,7,15.661
1919,8,15.530000000000001
1919,9,14.870000000000001
1919,10,14.019
1919,11,12.724
1919,12,12.15
1920,1,12.127999999999998
1920,2,12.177
1920,3,13.024999999999999
1920,4,13.86
1920,5,14.769
1920,6,15.462
1920,7,15.722
1920,8,15.57
1920,9,15.016
1920,10,14.157
1920,11,13.003
1920,12,12.078000000000001
1921,1,12.181
1921,2,12.309
1921,3,12.825
1921,4,13.761
1921,5,14.708
1921,6,15.572000000000001
1921,7,15.841000000000001
1921,8,15.539
1921,9,15.06
1921,10,14.260000000000002
1921,11,13.151
1921,12,12.448
1922,1,12.017
1922,2,12.108
1922,3,12.985999999999999
1922,4,13.918
1922,5,14.649
1922,6,15.455
1922,7,15.763
1922,8,15.453
1922,9,14.858
1922,10,13.951
1922,11,13.033
1922,12,12.396
1923,1,12.008
1923,2,12.108
1923,3,12.748
1923,4,13.754
1923,5,14.724
1923,6,15.5
1923,7,15.616
1923,8,15.495000000000001
1923,9,14.883000000000001
1923,10,14.266
1923,11,13.319999999999999
1923,12,12.579
1924,1,12.043999999999999
1924,2,12.266
1924,3,13.061
1924,4,13.776
1924,5,14.861
1924,6,15.489
1924,7,15.735
1924,8,15.508000000000001
1924,9,14.896
1924,10,13.98
1924,11,13.072999999999999
1924,12,12.216000000000001
1925,1,11.883999999999999
1925,2,12.051
1925,3,12.857
1925,4,13.796999999999999
1925,5,14.844
1925,6,15.450000000000001
1925,7,15.701
1925,8,15.659
1925,9,15.016
1925,10,14.152000000000001
1925,11,13.261999999999999
1925,12,12.726
1926,1,12.527999999999999
1926,2,12.496
1926,3,13.244
1926,4,13.956999999999999
1926,5,14.815
1926,6,15.518
1926,7,15.761000000000001
1926,8,15.702
1926,9,15.117
1926,10,14.319
1926,11,13.232
1926,12,12.34
1927,1,12.053999999999998
1927,2,12.333
1927,3,12.732999999999999
1927,4,13.788
1927,5,14.836
1927,6,15.456000000000001
1927,7,15.785
1927,8,15.642
1927,9,15.109
1927,10,14.367
1927,11,13.222
1927,12,12.298
1928,1,12.405
1928,2,12.482
1928,3,12.91
1928,4,13.844
1928,5,14.717
1928,6,15.341000000000001
1928,7,15.788
1928,8,15.587
1928,9,14.964
1928,10,14.157
1928,11,13.145999999999999
1928,12,12.408000000000001
1929,1,11.885
1929,2,11.975999999999999
1929,3,12.719999999999999
1929,4,13.665999999999999
1929,5,14.584999999999999
1929,6,15.291
1929,7,15.549
1929,8,15.528
1929,9,14.964
1929,10,14.171000000000001
1929,11,13.142
1929,12,12.063
1930,1,12.075999999999999
1930,2,12.228
1930,3,13.008
1930,4,13.84
1930,5,14.799999999999999
1930,6,15.487
1930,7,15.844
1930,8,15.701
1930,9,15.101
1930,10,14.242
1930,11,13.41
1930,12,12.553
1931,1,12.197999999999999
1931,2,12.288
1931,3,13.036999999999999
1931,4,13.876
1931,5,14.822
1931,6,15.666
1931,7,15.978
1931,8,15.81
1931,9,15.181000000000001
1931,10,14.386000000000001
1931,11,13.248
1931,12,12.562000000000001
1932,1,12.407
1932,2,12.336
1932,3,13.016
1932,4,14.084
1932,5,14.949
1932,6,15.499
1932,7,15.815
1932,8,15.618
1932,9,15.219000000000001
1932,10,14.263
1932,11,12.975999999999999
1932,12,12.378
1933,1,12.049999999999999
1933,2,12.231
1933,3,12.805
1933,4,13.761
1933,5,14.712
1933,6,15.337
1933,7,15.708
1933,8,15.620000000000001
1933,9,14.88
1933,10,14.072000000000001
1933,11,12.908999999999999
1933,12,12.146
1934,1,12.04
1934,2,12.418
1934,3,12.742999999999999
1934,4,13.7
1934,5,14.865
1934,6,15.555000000000001
1934,7,15.84
1934,8,15.673
1934,9,15.043000000000001
1934,10,14.261000000000001
1934,11,13.338
1934,12,12.520000000000001
1935,1,11.931999999999999
1935,2,12.578
1935,3,12.958
1935,4,13.716
1935,5,14.674999999999999
1935,6,15.494
1935,7,15.786
1935,8,15.6
1935,9,14.992
1935,10,14.262
1935,11,12.892999999999999
